Location,Size (sqft),BHK,Bathrooms,Price (INR),Property Type,Age of Property (years),Furnishing Status,Transaction Type,Floor Number,Total Floors,Parking,Nearby Amenity
Nashik,976,3,2,22600000,Penthouse,29,Furnished,New Booking,23,24,1,School Nearby
Thane,4988,5,1,44300000,Apartment,8,Semi-furnished,New Booking,22,37,1,School Nearby
Sangli,884,2,3,49800000,Penthouse,22,Unfurnished,New Booking,13,15,3,Swimming Pool
Nagpur,2264,2,2,8600000,Studio Apartment,25,Unfurnished,New Booking,13,22,1,Gym
Kolhapur,4922,2,1,9600000,Penthouse,7,Semi-furnished,New Booking,21,24,3,Mall Nearby
Aurangabad,812,3,1,1600000,Studio Apartment,18,Furnished,New Booking,19,31,0,Gym
Aurangabad,3592,2,1,34500000,Penthouse,21,Furnished,Resale,26,26,3,Swimming Pool
Amravati,2595,2,4,25200000,Studio Apartment,1,Unfurnished,New Booking,6,35,0,School Nearby
Nagpur,1572,3,2,28900000,Penthouse,30,Unfurnished,New Booking,12,36,0,Park
Kolhapur,913,2,2,15700000,Apartment,20,Unfurnished,Resale,24,40,2,Gym
Pune,3819,3,2,5400000,Independent House,17,Semi-furnished,New Booking,20,20,1,Park
Mumbai,1642,1,1,24400000,Independent House,5,Unfurnished,New Booking,1,14,0,Swimming Pool
Nashik,2468,4,1,29700000,Studio Apartment,14,Semi-furnished,Resale,30,37,0,Gym
Sangli,1179,2,4,49100000,Apartment,30,Furnished,Resale,23,31,3,School Nearby
Sangli,1821,3,4,33700000,Independent House,18,Semi-furnished,Resale,13,24,2,Hospital Nearby
Thane,2082,4,3,8600000,Apartment,19,Furnished,New Booking,11,17,3,Park
Amravati,3019,1,3,8800000,Independent House,18,Furnished,Resale,24,24,0,Swimming Pool
Sangli,2980,5,3,25100000,Penthouse,12,Unfurnished,New Booking,20,20,2,Gym
Nashik,1946,3,2,41400000,Villa,21,Semi-furnished,New Booking,22,30,0,School Nearby
Nashik,1930,5,3,14500000,Apartment,14,Unfurnished,New Booking,3,26,1,Hospital Nearby
Solapur,647,2,1,16900000,Apartment,19,Furnished,New Booking,1,31,2,School Nearby
Aurangabad,4829,4,1,20100000,Apartment,21,Unfurnished,Resale,11,25,2,Park
Pune,3492,2,3,16500000,Villa,7,Unfurnished,New Booking,12,38,0,Mall Nearby
Kolhapur,491,4,4,7300000,Independent House,26,Semi-furnished,New Booking,7,18,3,Gym
Solapur,473,4,1,7000000,Penthouse,5,Furnished,Resale,12,23,0,Hospital Nearby
Pune,1634,4,4,34000000,Independent House,21,Semi-furnished,New Booking,21,28,1,Gym
Nashik,3873,1,2,24500000,Studio Apartment,19,Unfurnished,Resale,20,25,2,Hospital Nearby
Sangli,4168,3,4,7200000,Villa,3,Unfurnished,New Booking,1,13,2,Swimming Pool
Pune,1101,1,2,29300000,Apartment,5,Furnished,New Booking,9,39,0,Hospital Nearby
Solapur,2621,2,4,48700000,Apartment,14,Furnished,Resale,15,28,3,Hospital Nearby
Sangli,4253,5,3,7300000,Penthouse,24,Furnished,Resale,20,25,0,School Nearby
Mumbai,1900,2,1,27000000,Penthouse,29,Furnished,New Booking,2,36,2,Park
Amravati,2868,3,2,32100000,Independent House,23,Semi-furnished,New Booking,4,22,1,Hospital Nearby
Mumbai,1335,4,1,12500000,Penthouse,7,Furnished,Resale,2,29,1,Gym
Sangli,3565,1,2,46600000,Apartment,21,Furnished,New Booking,8,22,1,Hospital Nearby
Sangli,1807,2,3,17800000,Penthouse,11,Furnished,Resale,30,35,0,Mall Nearby
Nagpur,4357,5,3,2200000,Villa,13,Semi-furnished,Resale,26,40,1,School Nearby
Nagpur,3790,5,2,44000000,Independent House,24,Unfurnished,Resale,25,25,3,Hospital Nearby
Aurangabad,4314,1,3,47300000,Apartment,24,Unfurnished,New Booking,6,19,0,Park
Pune,4479,3,1,3500000,Studio Apartment,19,Furnished,Resale,17,37,2,Swimming Pool
Thane,1974,3,4,35700000,Penthouse,17,Semi-furnished,New Booking,17,19,0,Swimming Pool
Nashik,2447,4,2,4800000,Studio Apartment,27,Furnished,Resale,25,32,2,Park
Kolhapur,739,5,2,18300000,Studio Apartment,6,Furnished,New Booking,22,37,2,School Nearby
Aurangabad,4016,4,4,32200000,Villa,20,Furnished,Resale,5,8,0,Gym
Sangli,3620,1,2,23800000,Villa,28,Furnished,New Booking,23,31,1,School Nearby
Thane,3921,2,3,16400000,Studio Apartment,30,Unfurnished,Resale,2,30,0,Mall Nearby
Solapur,4898,5,1,11500000,Villa,18,Semi-furnished,Resale,27,34,3,Gym
Kolhapur,1013,4,1,46200000,Independent House,27,Semi-furnished,Resale,25,30,3,Mall Nearby
Amravati,325,2,1,36800000,Apartment,16,Furnished,New Booking,9,33,0,Gym
Sangli,2898,5,2,2800000,Villa,15,Unfurnished,Resale,24,33,2,Swimming Pool
Pune,1180,5,2,42100000,Studio Apartment,21,Furnished,New Booking,6,20,0,Swimming Pool
Nagpur,532,1,2,27200000,Apartment,8,Semi-furnished,Resale,17,22,1,Hospital Nearby
Mumbai,4762,3,4,39500000,Apartment,29,Semi-furnished,New Booking,6,22,1,Swimming Pool
Mumbai,2866,2,2,11800000,Independent House,1,Unfurnished,Resale,16,17,0,Hospital Nearby
Amravati,1674,2,1,41900000,Penthouse,8,Furnished,Resale,4,19,1,Hospital Nearby
Amravati,2915,1,3,4400000,Independent House,6,Unfurnished,New Booking,30,34,1,Gym
Amravati,1987,4,2,16300000,Apartment,1,Semi-furnished,New Booking,3,8,3,Park
Mumbai,2475,1,4,9800000,Apartment,0,Furnished,Resale,11,35,2,Gym
Sangli,3107,2,3,30100000,Studio Apartment,21,Unfurnished,New Booking,4,22,1,Gym
Sangli,2485,5,3,24400000,Apartment,27,Semi-furnished,Resale,2,4,2,Gym
Mumbai,3193,2,1,6800000,Apartment,19,Semi-furnished,New Booking,28,30,2,School Nearby
Kolhapur,1313,2,2,31100000,Villa,6,Furnished,Resale,14,40,1,Swimming Pool
Pune,3330,3,1,31100000,Villa,13,Semi-furnished,Resale,30,33,1,Gym
Amravati,3000,4,4,14500000,Studio Apartment,4,Semi-furnished,Resale,18,25,1,Park
Nagpur,404,5,2,16700000,Penthouse,20,Unfurnished,Resale,13,27,1,Park
Pune,1966,1,3,29100000,Studio Apartment,20,Semi-furnished,New Booking,10,29,1,Gym
Sangli,4479,3,1,28700000,Apartment,3,Unfurnished,New Booking,9,15,3,Hospital Nearby
Aurangabad,3923,1,2,45500000,Villa,30,Semi-furnished,Resale,21,23,0,Gym
Mumbai,4680,1,3,26900000,Apartment,1,Unfurnished,New Booking,25,25,3,Mall Nearby
Thane,4129,3,1,26600000,Villa,25,Furnished,Resale,20,24,2,Park
Sangli,1779,3,4,34400000,Independent House,20,Semi-furnished,Resale,7,10,3,Gym
Nashik,537,1,4,41600000,Penthouse,29,Furnished,Resale,30,35,3,Gym
Pune,4585,4,2,10400000,Studio Apartment,21,Semi-furnished,New Booking,5,20,1,School Nearby
Thane,3267,1,3,36300000,Apartment,25,Semi-furnished,Resale,20,24,1,Hospital Nearby
Amravati,725,4,2,13400000,Independent House,17,Unfurnished,New Booking,5,37,2,Hospital Nearby
Sangli,4906,1,4,14400000,Penthouse,7,Furnished,New Booking,27,29,2,Mall Nearby
Thane,2280,5,3,35300000,Independent House,14,Unfurnished,Resale,29,33,1,Mall Nearby
Pune,2975,1,2,35000000,Studio Apartment,14,Semi-furnished,New Booking,20,28,3,School Nearby
Nashik,902,2,2,40800000,Penthouse,20,Furnished,New Booking,21,38,2,Park
Solapur,1972,5,1,23100000,Independent House,17,Semi-furnished,Resale,2,39,3,Gym
Nagpur,399,2,3,4500000,Apartment,3,Semi-furnished,Resale,22,22,1,Gym
Nagpur,4505,4,2,23400000,Studio Apartment,10,Unfurnished,Resale,13,29,2,Swimming Pool
Kolhapur,4431,2,1,9000000,Independent House,21,Furnished,Resale,27,32,3,Hospital Nearby
Amravati,4101,1,2,37700000,Studio Apartment,4,Unfurnished,Resale,9,23,3,School Nearby
Nashik,1722,4,1,48800000,Apartment,21,Semi-furnished,Resale,9,33,1,Mall Nearby
Thane,1678,1,1,38300000,Studio Apartment,12,Semi-furnished,Resale,30,40,0,Park
Thane,871,4,3,44900000,Studio Apartment,1,Furnished,Resale,22,31,3,Gym
Nashik,1731,5,3,26500000,Studio Apartment,10,Furnished,Resale,6,30,1,Gym
Amravati,3629,2,3,17800000,Apartment,17,Furnished,Resale,20,23,2,Hospital Nearby
Sangli,2929,1,1,24700000,Independent House,19,Furnished,Resale,24,24,0,Gym
Thane,1841,4,2,22700000,Independent House,29,Furnished,New Booking,2,23,1,Park
Nagpur,4618,1,2,41000000,Independent House,22,Semi-furnished,Resale,29,32,1,Hospital Nearby
Nashik,876,4,1,13300000,Villa,17,Furnished,Resale,14,36,3,Swimming Pool
Nagpur,3916,2,3,24200000,Apartment,1,Unfurnished,Resale,16,39,1,Swimming Pool
Nashik,1820,4,2,13400000,Apartment,16,Semi-furnished,New Booking,22,26,3,Gym
Aurangabad,1589,5,4,33300000,Penthouse,23,Unfurnished,New Booking,12,22,3,Hospital Nearby
Nashik,3590,2,3,27800000,Studio Apartment,9,Unfurnished,Resale,23,32,1,Hospital Nearby
Kolhapur,2955,1,2,45800000,Penthouse,18,Semi-furnished,New Booking,21,23,0,Gym
Solapur,1584,4,2,36800000,Penthouse,1,Unfurnished,New Booking,8,32,0,Gym
Amravati,2754,5,2,24300000,Apartment,25,Furnished,New Booking,12,13,2,Swimming Pool
Thane,4747,2,1,10200000,Studio Apartment,25,Semi-furnished,Resale,17,38,1,Swimming Pool
Aurangabad,1616,1,2,49500000,Independent House,26,Furnished,New Booking,26,37,2,Park
Pune,2767,4,2,38000000,Villa,26,Unfurnished,Resale,24,36,0,Hospital Nearby
Solapur,4757,2,4,20700000,Studio Apartment,24,Semi-furnished,Resale,17,23,0,Park
Aurangabad,2766,5,2,18000000,Independent House,16,Unfurnished,Resale,6,9,3,Park
Thane,2272,4,4,30300000,Independent House,10,Furnished,New Booking,9,20,1,Mall Nearby
Pune,1994,1,1,25600000,Villa,18,Furnished,Resale,15,29,0,Park
Nagpur,3127,4,3,30400000,Villa,24,Semi-furnished,Resale,3,20,3,Park
Thane,4898,4,3,7300000,Villa,24,Semi-furnished,New Booking,27,28,3,Park
Sangli,3985,3,2,36400000,Penthouse,15,Furnished,Resale,29,29,0,Swimming Pool
Mumbai,538,2,3,45700000,Independent House,11,Semi-furnished,Resale,27,27,1,Hospital Nearby
Pune,4085,5,2,36900000,Apartment,18,Unfurnished,New Booking,14,22,0,Mall Nearby
Aurangabad,4030,1,1,12800000,Apartment,13,Semi-furnished,Resale,19,24,1,Mall Nearby
Pune,3824,4,1,33200000,Studio Apartment,25,Unfurnished,Resale,17,27,2,Gym
Nashik,1999,3,1,3600000,Villa,21,Unfurnished,New Booking,28,40,1,Gym
Kolhapur,3717,3,2,5500000,Independent House,2,Unfurnished,New Booking,16,32,0,School Nearby
Thane,3333,5,4,33000000,Villa,25,Semi-furnished,Resale,17,40,1,School Nearby
Pune,3437,3,3,48300000,Penthouse,7,Furnished,Resale,9,35,3,Hospital Nearby
Solapur,1373,2,2,13600000,Villa,30,Semi-furnished,New Booking,11,37,0,Swimming Pool
Sangli,3264,5,3,45800000,Independent House,5,Semi-furnished,New Booking,21,24,3,Gym
Solapur,2897,4,3,18100000,Villa,12,Furnished,New Booking,29,32,2,Park
Mumbai,2609,2,3,34400000,Studio Apartment,8,Furnished,Resale,5,34,0,Gym
Thane,4927,3,4,8000000,Villa,12,Semi-furnished,Resale,27,39,0,Mall Nearby
Amravati,2888,2,4,23500000,Studio Apartment,20,Furnished,New Booking,18,27,1,Swimming Pool
Amravati,1321,4,2,21600000,Apartment,25,Semi-furnished,New Booking,2,33,3,Swimming Pool
Pune,2683,4,3,8900000,Independent House,9,Unfurnished,New Booking,22,35,2,Hospital Nearby
Sangli,2340,5,3,48700000,Apartment,2,Furnished,Resale,5,26,3,Swimming Pool
Aurangabad,4844,4,4,9300000,Independent House,10,Unfurnished,Resale,7,9,2,School Nearby
Nagpur,4367,5,1,4200000,Studio Apartment,21,Semi-furnished,Resale,2,7,1,Swimming Pool
Thane,1561,5,3,34900000,Apartment,21,Furnished,New Booking,13,29,2,Park
Thane,421,4,2,23600000,Apartment,8,Semi-furnished,Resale,5,9,3,Mall Nearby
Mumbai,4133,4,1,31700000,Villa,25,Semi-furnished,New Booking,8,17,0,School Nearby
Mumbai,4467,1,2,23300000,Independent House,21,Semi-furnished,New Booking,1,21,2,Swimming Pool
Pune,2144,5,3,3700000,Villa,17,Semi-furnished,Resale,19,29,1,Gym
Nagpur,776,2,4,10600000,Studio Apartment,6,Semi-furnished,Resale,20,22,1,Gym
Amravati,3315,1,1,19600000,Villa,27,Furnished,New Booking,2,9,1,School Nearby
Thane,3381,1,3,4400000,Apartment,26,Furnished,New Booking,24,30,3,Hospital Nearby
Aurangabad,3805,2,4,32500000,Independent House,3,Semi-furnished,Resale,2,5,2,Swimming Pool
Aurangabad,859,2,2,5000000,Apartment,0,Furnished,New Booking,18,40,3,Swimming Pool
Thane,2693,3,3,3500000,Penthouse,29,Unfurnished,Resale,11,17,2,Mall Nearby
Amravati,734,4,4,31500000,Villa,10,Unfurnished,New Booking,10,26,3,Mall Nearby
Sangli,750,3,2,15600000,Penthouse,8,Unfurnished,Resale,6,8,1,School Nearby
Mumbai,2849,4,4,43000000,Apartment,14,Unfurnished,New Booking,3,39,2,Hospital Nearby
Aurangabad,1338,2,3,10400000,Apartment,26,Furnished,Resale,12,25,2,Park
Kolhapur,1633,4,2,19800000,Villa,7,Unfurnished,Resale,22,30,0,School Nearby
Amravati,454,2,3,1700000,Villa,25,Semi-furnished,New Booking,14,14,0,Gym
Pune,4926,5,3,36500000,Penthouse,21,Furnished,Resale,29,38,0,Hospital Nearby
Amravati,389,4,2,28800000,Villa,21,Unfurnished,New Booking,23,38,0,School Nearby
Nagpur,2605,2,1,19900000,Studio Apartment,27,Unfurnished,New Booking,30,39,0,Hospital Nearby
Aurangabad,3807,2,4,14700000,Apartment,5,Furnished,Resale,20,25,2,Gym
Aurangabad,2777,2,4,2000000,Studio Apartment,20,Semi-furnished,New Booking,19,40,0,School Nearby
Thane,1428,2,3,16200000,Independent House,27,Unfurnished,New Booking,10,30,3,Hospital Nearby
Aurangabad,1619,1,1,32100000,Independent House,21,Unfurnished,New Booking,17,29,1,Gym
Mumbai,707,4,2,49000000,Studio Apartment,13,Unfurnished,New Booking,28,28,3,Mall Nearby
Nagpur,1238,5,3,32600000,Apartment,10,Furnished,Resale,8,26,3,Mall Nearby
Sangli,4527,1,1,24900000,Apartment,19,Semi-furnished,New Booking,18,27,2,Hospital Nearby
Thane,4931,4,1,46200000,Penthouse,9,Unfurnished,Resale,21,35,0,Park
Aurangabad,3154,2,1,8600000,Independent House,27,Semi-furnished,Resale,3,13,2,Hospital Nearby
Aurangabad,3116,1,1,10300000,Apartment,28,Unfurnished,Resale,29,33,0,Hospital Nearby
Amravati,2754,4,1,17700000,Penthouse,5,Unfurnished,Resale,23,40,1,Park
Mumbai,4497,1,2,46600000,Villa,7,Furnished,Resale,2,2,1,Swimming Pool
Nagpur,4325,1,3,40700000,Independent House,20,Unfurnished,Resale,25,25,0,School Nearby
Solapur,2442,5,2,49000000,Penthouse,17,Semi-furnished,New Booking,10,39,2,Mall Nearby
Pune,1009,4,1,24400000,Studio Apartment,10,Semi-furnished,New Booking,1,27,3,Park
Solapur,4088,5,2,12700000,Penthouse,28,Furnished,Resale,7,18,3,Swimming Pool
Mumbai,909,4,2,30800000,Studio Apartment,25,Furnished,Resale,20,36,1,Mall Nearby
Thane,3480,2,2,42800000,Penthouse,20,Furnished,New Booking,6,35,2,Mall Nearby
Nashik,4753,1,1,37600000,Villa,13,Semi-furnished,New Booking,10,20,0,Park
Kolhapur,1236,3,4,43200000,Independent House,28,Furnished,Resale,16,23,0,Park
Sangli,4060,5,3,3500000,Apartment,18,Semi-furnished,New Booking,9,22,0,Hospital Nearby
Nagpur,3371,4,4,49400000,Apartment,15,Semi-furnished,New Booking,5,21,0,Swimming Pool
Solapur,2668,5,4,23200000,Independent House,29,Semi-furnished,New Booking,15,26,0,Hospital Nearby
Solapur,3313,4,3,4500000,Studio Apartment,22,Unfurnished,Resale,1,1,1,Gym
Kolhapur,1670,3,3,12700000,Penthouse,23,Furnished,Resale,5,25,0,Gym
Pune,4584,5,1,20500000,Studio Apartment,21,Semi-furnished,New Booking,16,27,3,Mall Nearby
Mumbai,3985,5,1,48400000,Studio Apartment,22,Furnished,Resale,9,27,0,Park
Pune,3635,1,3,31700000,Independent House,12,Semi-furnished,New Booking,19,20,0,School Nearby
Mumbai,3335,5,3,1200000,Independent House,29,Furnished,New Booking,14,32,0,Gym
Kolhapur,2523,3,3,9400000,Studio Apartment,11,Furnished,Resale,16,29,2,Gym
Amravati,870,3,4,36000000,Penthouse,24,Semi-furnished,Resale,7,34,2,Park
Pune,3021,2,4,38500000,Villa,1,Furnished,Resale,22,38,1,Gym
Amravati,1065,1,2,41400000,Villa,26,Semi-furnished,Resale,14,15,3,Gym
Aurangabad,3779,5,4,31800000,Apartment,9,Furnished,New Booking,27,39,2,Swimming Pool
Thane,4663,1,1,11300000,Studio Apartment,28,Semi-furnished,Resale,20,40,2,School Nearby
Kolhapur,362,2,1,21900000,Independent House,17,Unfurnished,New Booking,21,25,3,Gym
Solapur,3870,3,3,7100000,Penthouse,26,Unfurnished,New Booking,29,34,2,Mall Nearby
Aurangabad,2575,2,3,28100000,Independent House,10,Semi-furnished,New Booking,17,26,0,School Nearby
Aurangabad,2821,2,3,31400000,Apartment,4,Semi-furnished,New Booking,29,40,3,Mall Nearby
Thane,3512,2,3,30400000,Villa,24,Semi-furnished,New Booking,13,27,3,School Nearby
Kolhapur,3092,4,4,11000000,Villa,26,Unfurnished,New Booking,6,21,0,Mall Nearby
Solapur,473,5,2,21900000,Apartment,25,Furnished,New Booking,10,17,1,Swimming Pool
Nashik,2056,3,3,1200000,Villa,22,Semi-furnished,New Booking,14,20,3,Mall Nearby
Aurangabad,484,1,3,31900000,Apartment,11,Furnished,Resale,17,28,1,Park
Pune,3035,2,3,43500000,Villa,3,Furnished,Resale,7,18,0,Mall Nearby
Pune,2835,1,2,3400000,Villa,11,Semi-furnished,Resale,6,22,0,Hospital Nearby
Amravati,2556,4,2,29800000,Villa,12,Unfurnished,New Booking,15,40,0,Mall Nearby
Thane,3100,4,4,35300000,Apartment,5,Furnished,New Booking,21,30,2,Gym
Kolhapur,3776,3,3,32400000,Penthouse,5,Furnished,New Booking,3,34,2,Gym
Kolhapur,1792,2,3,17000000,Penthouse,0,Unfurnished,Resale,19,19,2,Swimming Pool
Mumbai,591,1,4,17700000,Studio Apartment,8,Unfurnished,Resale,16,26,2,School Nearby
Amravati,2227,1,1,20100000,Apartment,17,Unfurnished,Resale,1,34,0,Gym
Nashik,3350,2,4,44800000,Independent House,14,Furnished,Resale,29,33,3,School Nearby
Pune,1356,3,4,4100000,Penthouse,18,Unfurnished,Resale,18,28,0,Swimming Pool
Nagpur,4390,3,2,16200000,Studio Apartment,17,Unfurnished,New Booking,21,39,3,Hospital Nearby
Solapur,3536,3,2,28800000,Studio Apartment,24,Semi-furnished,Resale,14,23,1,School Nearby
Solapur,4260,1,1,32600000,Penthouse,30,Furnished,New Booking,25,35,3,Hospital Nearby
Thane,3164,5,4,31300000,Villa,1,Semi-furnished,Resale,2,16,3,School Nearby
Amravati,2342,1,1,30200000,Studio Apartment,23,Furnished,Resale,30,39,2,School Nearby
Amravati,3703,2,2,28500000,Apartment,2,Furnished,Resale,15,21,0,Park
Pune,4063,2,1,19900000,Independent House,0,Semi-furnished,New Booking,5,23,2,Park
Nagpur,2480,5,1,28800000,Apartment,2,Unfurnished,New Booking,6,37,0,Hospital Nearby
Kolhapur,4381,2,1,8700000,Studio Apartment,1,Unfurnished,New Booking,29,40,2,Swimming Pool
Pune,1312,2,2,31000000,Villa,22,Furnished,Resale,11,27,0,School Nearby
Thane,1109,1,3,15400000,Independent House,30,Furnished,Resale,26,37,2,Swimming Pool
Aurangabad,3253,3,4,28500000,Penthouse,5,Semi-furnished,New Booking,20,34,2,Park
Nagpur,4523,4,1,43700000,Studio Apartment,1,Unfurnished,Resale,25,33,2,Hospital Nearby
Nagpur,1306,3,4,47400000,Studio Apartment,20,Unfurnished,New Booking,1,9,3,Swimming Pool
Solapur,2872,2,4,25000000,Independent House,10,Unfurnished,New Booking,24,38,1,Hospital Nearby
Nashik,1422,3,1,27000000,Independent House,10,Semi-furnished,New Booking,12,19,1,School Nearby
Thane,3852,3,3,30700000,Penthouse,10,Furnished,Resale,23,38,0,Park
Mumbai,1941,5,3,38900000,Studio Apartment,0,Unfurnished,Resale,22,25,1,Mall Nearby
Mumbai,4609,5,4,29600000,Independent House,4,Semi-furnished,Resale,8,15,2,Mall Nearby
Sangli,4056,2,2,33200000,Apartment,28,Furnished,Resale,1,15,3,Mall Nearby
Mumbai,4147,5,4,4600000,Apartment,3,Semi-furnished,Resale,18,34,0,Park
Pune,1069,2,4,40300000,Independent House,21,Semi-furnished,Resale,13,13,0,Gym
Nashik,968,3,2,19000000,Apartment,12,Unfurnished,New Booking,23,39,0,Gym
Sangli,3388,1,3,5900000,Penthouse,11,Furnished,Resale,17,35,3,Hospital Nearby
Kolhapur,702,5,4,33400000,Apartment,5,Furnished,New Booking,20,20,1,Swimming Pool
Nashik,479,2,1,45700000,Studio Apartment,22,Unfurnished,New Booking,11,16,3,Mall Nearby
Nashik,1751,4,4,12700000,Studio Apartment,24,Unfurnished,Resale,24,33,2,Gym
Thane,684,5,2,30500000,Villa,11,Unfurnished,New Booking,7,10,2,Swimming Pool
Solapur,4260,2,4,20600000,Studio Apartment,0,Semi-furnished,New Booking,20,24,2,Park
Mumbai,4078,5,1,11300000,Villa,19,Furnished,New Booking,29,30,0,Mall Nearby
Pune,964,4,2,13700000,Independent House,14,Semi-furnished,New Booking,22,22,3,School Nearby
Aurangabad,4511,4,1,20600000,Villa,28,Unfurnished,New Booking,29,37,0,Mall Nearby
Nashik,1160,4,4,2900000,Penthouse,9,Unfurnished,New Booking,18,18,0,Swimming Pool
Amravati,3123,2,3,17800000,Studio Apartment,8,Semi-furnished,New Booking,7,9,1,Swimming Pool
Mumbai,838,1,4,20200000,Villa,16,Semi-furnished,Resale,8,37,2,Park
Solapur,1372,2,2,44800000,Penthouse,3,Furnished,Resale,30,36,2,Hospital Nearby
Kolhapur,1409,3,1,19100000,Independent House,27,Furnished,New Booking,13,37,0,Hospital Nearby
Aurangabad,698,3,4,33300000,Villa,19,Furnished,Resale,7,25,3,School Nearby
Amravati,592,3,2,2700000,Apartment,27,Unfurnished,New Booking,1,36,3,Mall Nearby
Nagpur,2576,3,1,25000000,Villa,24,Furnished,Resale,18,35,3,Hospital Nearby
Amravati,2286,5,2,43300000,Penthouse,25,Unfurnished,New Booking,10,26,0,Mall Nearby
Mumbai,3630,1,1,9400000,Penthouse,13,Furnished,Resale,20,33,0,Hospital Nearby
Amravati,2110,2,3,19000000,Independent House,5,Unfurnished,Resale,15,19,0,School Nearby
Kolhapur,1133,5,2,25600000,Penthouse,14,Semi-furnished,Resale,1,11,1,Park
Pune,3959,5,2,38100000,Villa,9,Unfurnished,Resale,28,38,2,Gym
Sangli,1606,2,2,4700000,Villa,10,Unfurnished,New Booking,23,32,2,Hospital Nearby
Kolhapur,4325,4,3,19800000,Independent House,7,Unfurnished,Resale,5,7,3,Hospital Nearby
Nashik,1987,2,2,8500000,Studio Apartment,5,Furnished,New Booking,1,30,3,Mall Nearby
Nashik,3556,3,1,1200000,Penthouse,15,Semi-furnished,Resale,12,26,2,School Nearby
Thane,2197,1,3,8200000,Independent House,0,Semi-furnished,Resale,15,36,0,Gym
Kolhapur,3686,4,1,26900000,Independent House,1,Semi-furnished,Resale,29,39,0,Gym
Amravati,1474,2,4,20700000,Penthouse,6,Furnished,Resale,1,5,2,Mall Nearby
Nagpur,1298,3,1,34200000,Penthouse,30,Unfurnished,Resale,13,36,1,Gym
Thane,1692,2,1,40000000,Apartment,18,Semi-furnished,New Booking,21,27,1,Swimming Pool
Sangli,1861,3,1,46600000,Apartment,0,Unfurnished,New Booking,21,28,2,Gym
Nashik,4309,4,3,7800000,Penthouse,30,Furnished,Resale,10,33,2,Hospital Nearby
Mumbai,3954,1,3,13300000,Studio Apartment,21,Unfurnished,Resale,28,40,0,School Nearby
Thane,473,4,4,12600000,Villa,13,Unfurnished,Resale,10,22,1,Mall Nearby
Nashik,574,1,1,5300000,Penthouse,9,Unfurnished,New Booking,20,38,1,Swimming Pool
Kolhapur,4399,3,3,47600000,Penthouse,6,Unfurnished,Resale,1,30,3,Hospital Nearby
Sangli,2836,3,1,36200000,Villa,2,Unfurnished,New Booking,30,37,2,Mall Nearby
Thane,1012,1,3,5000000,Villa,22,Semi-furnished,New Booking,26,31,0,Hospital Nearby
Pune,1743,4,2,49000000,Apartment,2,Unfurnished,Resale,26,37,0,Hospital Nearby
Pune,3526,3,1,9400000,Independent House,15,Furnished,New Booking,4,36,3,Mall Nearby
Amravati,4992,1,2,39400000,Penthouse,20,Furnished,Resale,8,14,1,Mall Nearby
Solapur,3207,2,3,16200000,Penthouse,5,Semi-furnished,New Booking,24,37,1,Mall Nearby
Sangli,3784,4,4,2500000,Penthouse,17,Furnished,New Booking,21,34,3,Park
Thane,2140,4,1,18200000,Independent House,17,Furnished,Resale,6,38,3,Gym
Solapur,1145,1,4,7700000,Penthouse,4,Furnished,New Booking,5,28,3,Park
Nashik,2521,1,2,17400000,Apartment,4,Unfurnished,New Booking,11,22,3,School Nearby
Amravati,4342,1,4,19900000,Villa,13,Semi-furnished,New Booking,19,22,3,Gym
Solapur,2269,3,2,8200000,Penthouse,11,Unfurnished,Resale,18,37,1,Gym
Thane,448,1,2,3400000,Independent House,17,Semi-furnished,Resale,26,33,1,School Nearby
Mumbai,2216,2,3,13700000,Independent House,3,Furnished,Resale,12,26,3,School Nearby
Aurangabad,482,5,4,47700000,Studio Apartment,4,Semi-furnished,Resale,25,28,0,Hospital Nearby
Nashik,3049,4,4,20400000,Studio Apartment,30,Furnished,Resale,1,2,2,Hospital Nearby
Nashik,375,1,2,14200000,Apartment,25,Semi-furnished,New Booking,21,22,2,Gym
Nashik,4906,2,2,35900000,Studio Apartment,6,Semi-furnished,Resale,7,8,1,Hospital Nearby
Nagpur,4074,5,2,45300000,Penthouse,2,Furnished,New Booking,21,32,3,Swimming Pool
Nagpur,1661,4,2,22200000,Apartment,23,Unfurnished,Resale,23,25,2,Hospital Nearby
Nagpur,2900,2,4,2600000,Independent House,23,Furnished,New Booking,27,35,2,Hospital Nearby
Mumbai,2591,2,4,36800000,Penthouse,18,Semi-furnished,Resale,10,31,0,Hospital Nearby
Nashik,1956,1,3,15300000,Penthouse,4,Semi-furnished,New Booking,9,9,0,Hospital Nearby
Kolhapur,2488,2,2,45700000,Penthouse,6,Semi-furnished,New Booking,15,26,0,Hospital Nearby
Mumbai,4932,2,1,18800000,Studio Apartment,30,Unfurnished,New Booking,20,29,0,Hospital Nearby
Nashik,2893,3,2,12000000,Studio Apartment,22,Furnished,New Booking,29,36,2,Park
Thane,1263,3,4,9700000,Studio Apartment,13,Semi-furnished,New Booking,30,30,3,Gym
Pune,2533,4,1,34600000,Independent House,23,Semi-furnished,Resale,20,21,0,Mall Nearby
Mumbai,889,1,3,21600000,Penthouse,22,Furnished,Resale,29,31,3,Hospital Nearby
Nashik,1843,5,1,43300000,Villa,29,Unfurnished,Resale,8,35,1,School Nearby
Pune,4577,5,3,33200000,Studio Apartment,7,Furnished,Resale,20,30,2,Mall Nearby
